Game#,Enemies_Killed,HP_Lost,End_Status,Turns_Survived,Score,Time at End of Simulation
1,0,1,Win,300,10505,13:07 PM
2,0,2,Win,300,10505,13:14 PM
3,0,3,Lose,65,-2521,13:15 PM
4,0,1,Win,300,10685,13:19 PM
5,0,3,Lose,43,-2728,13:21 PM
6,0,2,Win,300,10545,13:26 PM
7,0,3,Lose,293,-2053,13:30 PM
8,0,3,Lose,227,-1959,13:32 PM
9,0,3,Lose,41,-2730,13:32 PM
10,0,2,Win,300,10625,13:37 PM
